,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Seymchan,RU,62.88,152.43,5.9,92,100,8.08,light snow
351,Port Augusta,AU,-32.5,137.77,75.99,40,0,12.75,clear sky
352,Pozo Colorado,PY,-23.49,-58.8,69.66,32,0,5.39,clear sky
353,Bathsheba,BB,13.22,-59.52,80.6,83,40,14.99,shower rain
354,Jiwani,PK,25.05,61.74,78.73,51,0,3.06,clear sky
355,Uruana,BR,-15.5,-49.69,69.1,88,100,5.26,overcast clouds
356,Marinette,US,45.1,-87.63,57.2,76,1,8.05,clear sky
357,Avera,US,33.19,-82.53,66.2,100,90,8.05,overcast clouds
358,Quatre Cocos,MU,-20.21,57.76,80.6,61,40,11.41,scattered clouds
359,Uvira,CD,-3.41,29.15,78.73,58,55,3.38,light rain
360,La Asuncion,VE,11.03,-63.86,89.6,66,1,11.41,light rain
361,Sola,VU,-13.88,167.55,82.4,94,75,8.08,broken clouds
362,Puerto Madryn,AR,-42.77,-65.04,51.93,72,100,13.06,overcast clouds
363,Conchagua,SV,13.31,-87.86,71.49,98,100,2.06,light rain
364,Opotiki,NZ,-38.08,177.28,66.0,90,31,1.99,scattered clouds
365,Coquimbo,CL,-29.95,-71.34,53.6,93,0,3.36,clear sky
366,Lethem,GY,3.38,-59.8,75.76,90,100,7.05,overcast clouds
367,Sao Felix Do Xingu,BR,-6.64,-51.99,71.08,97,100,1.81,light rain
368,Miyako,JP,39.64,141.95,60.37,71,9,4.12,clear sky
369,Saint-Joseph,RE,-21.37,55.62,80.6,65,0,23.04,clear sky
370,Rzhyshchiv,UA,49.97,31.05,48.2,81,75,6.71,broken clouds
371,Bonavista,CA,48.65,-53.11,52.0,93,99,9.17,overcast clouds
372,Provideniya,RU,64.38,-173.3,34.12,87,97,24.49,overcast clouds
373,Novyy Urengoy,RU,66.08,76.63,29.43,99,100,8.3,overcast clouds
374,Pelotas,BR,-31.77,-52.34,64.99,91,28,4.0,scattered clouds
375,Bapatla,IN,15.9,80.47,84.99,68,0,10.0,clear sky
376,Kalmunai,LK,7.42,81.82,87.12,64,92,10.85,overcast clouds
377,Villa Maria,AR,-32.41,-63.24,66.0,69,15,1.99,few clouds
378,Xichang,CN,27.9,102.26,63.55,55,85,1.39,overcast clouds
379,Ketchikan,US,55.34,-131.65,37.4,93,90,8.05,overcast clouds
380,Daru,PG,-9.08,143.21,81.0,76,100,5.44,overcast clouds
381,Nizhnetroitskiy,RU,54.34,53.68,40.03,77,100,11.23,overcast clouds
382,Saint George,US,37.1,-113.58,69.8,32,1,10.29,clear sky
383,Tarija,BO,-21.54,-64.73,64.94,48,0,1.57,clear sky
384,Parrita,CR,9.52,-84.32,64.4,100,90,3.36,fog
385,Nemuro,JP,43.32,145.57,59.0,67,20,8.05,few clouds
386,Perbaungan,ID,3.57,98.96,84.34,70,100,6.29,overcast clouds
387,Leh,IN,34.17,77.58,36.39,51,0,2.13,clear sky
388,Jackson,US,42.42,-122.83,43.0,87,90,4.7,light rain
389,Raga,SS,8.46,25.68,79.79,31,97,7.34,overcast clouds
390,Oriximina,BR,-1.77,-55.87,74.77,89,53,4.03,broken clouds
391,Vestmannaeyjar,IS,63.44,-20.27,42.51,78,100,14.88,overcast clouds
392,Richards Bay,ZA,-28.78,32.04,77.59,65,67,5.61,broken clouds
393,Kaliua,TZ,-5.06,31.79,80.82,52,98,6.15,light rain
394,Heidenreichstein,AT,48.87,15.12,36.0,98,0,5.41,clear sky
395,Abu Kamal,SY,34.45,40.92,68.83,47,6,6.76,clear sky
396,Eisiskes,LT,54.17,25.0,48.99,93,90,8.05,overcast clouds
397,Hobyo,SO,5.35,48.53,82.6,69,47,13.29,scattered clouds
398,Vilhena,BR,-12.74,-60.15,71.87,70,91,3.11,overcast clouds
399,Cayenne,GF,4.93,-52.33,75.2,100,0,2.24,clear sky
400,Imbituba,BR,-28.24,-48.67,64.4,93,20,6.93,light rain
401,Clifton,US,40.86,-74.16,61.0,81,1,4.09,clear sky
402,Pasighat,IN,28.07,95.33,81.64,39,0,3.38,clear sky
403,Vanderhoof,CA,54.02,-124.02,27.95,91,0,6.13,light snow
404,Clyde River,CA,70.47,-68.59,8.6,78,90,14.99,overcast clouds
405,Aginskoye,RU,51.1,114.53,22.46,84,0,19.8,clear sky
406,Egvekinot,RU,66.32,-179.17,24.53,99,100,3.42,light snow
407,Vestmanna,FO,62.16,-7.17,41.0,86,96,12.12,overcast clouds
408,Road Town,VG,18.42,-64.62,80.01,86,91,1.01,overcast clouds
409,Timizart,DZ,36.8,4.27,68.38,42,100,5.93,overcast clouds
410,Dicabisagan,PH,17.08,122.42,82.27,77,97,7.67,overcast clouds
411,Russell,US,32.35,-85.2,66.2,87,1,3.36,clear sky
412,Cabangahan,PH,9.08,122.95,84.2,74,75,16.11,moderate rain
413,Prince Rupert,CA,54.32,-130.32,39.2,81,90,6.93,overcast clouds
414,Roald,NO,62.58,6.13,51.8,76,75,23.04,light intensity shower rain
415,Chicama,PE,-7.84,-79.15,59.04,88,91,2.77,overcast clouds
416,Mutum,BR,-19.8,-41.44,68.25,91,2,1.03,clear sky
417,Lagoa,PT,39.05,-27.98,60.85,73,56,35.37,broken clouds
418,Preobrazheniye,RU,42.9,133.91,52.14,54,0,11.03,clear sky
419,Shingu,JP,33.73,135.98,71.6,88,75,2.24,broken clouds
420,Touros,BR,-5.2,-35.46,75.2,94,40,3.36,scattered clouds
421,Ciudad Bolivar,VE,8.12,-63.55,76.64,85,0,8.37,clear sky
422,Kurumkan,RU,54.3,110.3,21.58,77,16,5.3,few clouds
423,Lambakin,PH,14.75,120.87,86.0,74,75,2.24,heavy intensity rain
424,Nhulunbuy,AU,-12.23,136.77,91.4,49,0,10.29,clear sky
425,Ostersund,SE,63.18,14.64,42.8,75,93,6.93,overcast clouds
426,Krynychky,UA,48.38,34.47,46.4,87,0,11.18,clear sky
427,Mokhsogollokh,RU,61.47,128.92,3.13,93,100,3.44,overcast clouds
428,Lieksa,FI,63.32,30.02,43.25,84,0,13.22,clear sky
429,Newport,GB,51.59,-3.0,46.0,94,89,1.01,overcast clouds
430,Borogontsy,RU,62.67,131.17,-5.75,89,100,3.38,overcast clouds
431,Rabo De Peixe,PT,37.8,-25.58,59.0,58,40,11.41,scattered clouds
432,Tuatapere,NZ,-46.13,167.68,42.4,89,100,3.78,overcast clouds
433,Payo,ID,-3.75,103.64,83.32,84,100,4.43,overcast clouds
434,Feldkirchen,DE,48.15,11.74,41.0,96,0,1.01,clear sky
435,Lebedinyy,RU,58.52,125.52,3.9,95,100,5.1,light snow
436,Los Llanos De Aridane,ES,28.66,-17.92,64.4,63,0,9.17,clear sky
437,Isla Aguada,MX,18.78,-91.47,79.21,83,0,15.9,light rain
438,Huarmey,PE,-10.07,-78.15,59.61,85,20,3.47,few clouds
439,Isilkul,RU,54.91,71.27,44.31,55,100,14.97,overcast clouds
440,Bud,US,39.45,-86.18,55.0,87,1,5.17,clear sky
441,Grindavik,IS,63.84,-22.43,37.4,93,75,16.11,shower rain
442,Padang,ID,-0.95,100.35,84.74,67,100,4.65,overcast clouds
443,Hay River,CA,60.82,-115.8,1.4,77,100,4.7,overcast clouds
444,Mendi,PG,-6.18,143.65,59.29,100,100,1.88,moderate rain
445,Roznov,RO,46.83,26.52,46.99,43,36,3.31,scattered clouds
446,Haines Junction,CA,60.75,-137.51,-11.2,76,4,3.36,clear sky
447,Felipe Carrillo Puerto,MX,19.58,-88.05,71.37,99,100,3.13,overcast clouds
448,Andenes,NO,69.31,16.12,41.0,80,100,27.51,overcast clouds
449,Maniitsoq,GL,65.42,-52.9,23.2,86,100,3.13,overcast clouds
450,Boa Vista,BR,2.82,-60.67,77.0,83,75,3.36,broken clouds
451,Seoul,KR,37.57,126.98,66.2,36,1,12.26,haze
452,Ambon,ID,-3.7,128.18,83.43,67,61,9.46,broken clouds
453,Turukhansk,RU,65.82,87.98,15.69,96,95,12.82,light snow
454,Svolvaer,NO,68.23,14.57,42.01,84,89,15.99,light rain
455,Gus-Zheleznyy,RU,55.06,41.17,39.49,92,100,8.63,overcast clouds
456,Yenagoa,NG,4.92,6.26,79.11,89,98,3.51,overcast clouds
457,Karpogory,RU,64.0,44.45,35.85,94,100,6.71,overcast clouds
458,Lexington,US,37.99,-84.48,52.0,81,1,4.7,clear sky
459,Qaqortoq,GL,60.72,-46.03,30.2,86,100,9.17,light snow
460,Pangody,RU,65.85,74.49,32.49,98,100,8.86,overcast clouds
461,Bastia,FR,42.67,9.33,59.0,87,0,3.36,clear sky
462,Flinders,AU,-34.58,150.86,64.0,51,40,14.99,scattered clouds
463,Sawakin,SD,19.11,37.33,83.89,65,53,8.48,broken clouds
464,Ulu-Telyak,RU,54.91,56.97,39.13,90,100,6.69,light rain
465,Rocha,UY,-34.48,-54.33,55.35,96,93,3.18,overcast clouds
466,Zhengjiatun,CN,43.51,123.51,51.57,39,84,12.68,broken clouds
467,Deputatskiy,RU,69.3,139.9,-10.64,91,0,2.26,clear sky
468,Kislyakovskaya,RU,46.44,39.67,45.68,83,100,15.66,overcast clouds
469,Leningradskiy,RU,69.38,178.42,25.39,97,100,19.3,light snow
470,Cururupu,BR,-1.83,-44.87,76.01,86,100,2.8,overcast clouds
471,Saint-Georges,GD,12.06,-61.75,82.4,83,40,18.34,scattered clouds
472,Solnechnyy,RU,50.72,136.63,24.64,88,97,2.19,overcast clouds
473,Malakal,SS,9.53,31.66,85.42,22,19,9.84,few clouds
474,Phuket,TH,8.0,98.25,89.01,70,20,6.93,few clouds
475,Lenoir City,US,35.8,-84.26,50.0,96,0,2.51,clear sky
476,Eyl,SO,7.98,49.82,83.35,49,61,11.5,broken clouds
477,Pucallpa,PE,-8.38,-74.55,73.85,82,62,1.88,broken clouds
478,Tambovka,RU,50.1,128.05,28.4,86,40,4.47,scattered clouds
479,Sitka,US,57.05,-135.33,33.8,87,75,3.36,broken clouds
480,Sambava,MG,-14.27,50.17,80.91,62,94,12.06,overcast clouds
481,Guiratinga,BR,-16.35,-53.76,73.18,53,86,4.43,overcast clouds
482,Oranjestad,AW,12.52,-70.03,80.6,83,20,6.93,few clouds
483,Mareeba,AU,-17.0,145.43,89.01,56,2,10.0,clear sky
484,Launceston,AU,-41.45,147.17,60.8,36,12,12.75,few clouds
485,Aswan,EG,24.09,32.91,72.39,45,15,9.75,few clouds
486,Coahuayana,MX,18.73,-103.68,73.72,84,82,3.0,broken clouds
487,Chiredzi,ZW,-21.05,31.67,96.03,33,0,6.33,clear sky
488,Shahrud,IR,36.42,54.98,66.52,23,100,7.34,overcast clouds
489,Ayagoz,KZ,47.97,80.44,52.92,41,0,4.03,clear sky
490,Kutahya,TR,39.42,29.98,48.2,81,40,3.36,scattered clouds
491,Vao,NC,-22.67,167.48,75.18,78,0,13.38,clear sky
492,Saku,JP,36.22,138.48,66.2,63,75,17.22,shower rain
493,Olafsvik,IS,64.89,-23.71,38.75,93,100,20.51,light rain
494,Swan Hill,AU,-35.34,143.55,72.03,26,0,13.27,clear sky
495,Aykhal,RU,66.0,111.5,5.0,92,90,2.24,overcast clouds
496,Kohlu,PK,29.9,69.25,74.8,17,0,1.92,clear sky
497,Narasannapeta,IN,18.42,84.05,84.36,60,0,8.68,clear sky
498,Naze,JP,28.37,129.48,82.4,83,40,8.05,scattered clouds
499,Kathu,TH,7.92,98.33,89.01,70,20,6.93,few clouds
500,Luwuk,ID,-0.95,122.79,83.86,71,26,6.82,moderate rain
501,Hami,CN,42.8,93.45,56.62,30,0,3.31,clear sky
502,Hualmay,PE,-11.1,-77.61,59.41,86,42,4.07,scattered clouds
503,Vostok,RU,46.49,135.88,30.74,97,7,7.14,clear sky
504,Naryan-Mar,RU,67.67,53.09,33.98,98,100,2.08,overcast clouds
505,Funadhoo,MV,6.15,73.27,84.22,75,100,18.16,light rain
506,Verkhoyansk,RU,67.54,133.38,-24.61,83,77,1.23,broken clouds
507,Oistins,BB,13.07,-59.53,80.6,83,40,14.99,shower rain
508,Kulykiv,UA,50.31,24.82,44.51,93,10,6.67,clear sky
509,Kagadi,UG,0.96,30.8,68.97,93,100,2.35,light rain
510,Santa Cruz De La Palma,ES,28.68,-17.76,64.4,63,0,9.17,clear sky
511,Chiquilistlan,MX,20.2,-103.82,57.52,60,90,1.48,overcast clouds
512,Port Hedland,AU,-20.32,118.57,98.6,30,0,20.8,clear sky
513,Sao Joao Da Barra,BR,-21.64,-41.05,68.45,86,66,7.05,broken clouds
514,Maroantsetra,MG,-15.43,49.73,78.4,66,91,5.46,overcast clouds
515,Manaure,CO,11.78,-72.44,79.79,80,76,2.37,light rain
516,Muli,MV,2.92,73.57,83.14,68,38,0.34,scattered clouds
517,Kincardine,GB,56.07,-3.72,43.0,100,90,3.36,mist
518,Dodola,ET,6.98,39.18,62.87,65,44,5.39,scattered clouds
519,Chernyshevskiy,RU,63.01,112.47,-1.64,91,0,4.72,clear sky
520,Yarim,YE,14.3,44.38,63.25,28,0,1.63,clear sky
521,Abu Dhabi,AE,24.47,54.37,82.4,44,0,10.29,clear sky
522,Kjollefjord,NO,70.95,27.35,40.39,70,83,22.59,broken clouds
523,Zyryanka,RU,65.75,150.85,-0.47,92,100,13.47,overcast clouds
524,Kamaishi,JP,39.27,141.88,50.0,100,75,1.12,broken clouds
525,Yerkoy,TR,39.64,34.47,49.96,60,0,6.53,clear sky
526,Tsabong,BW,-26.02,22.4,79.23,21,0,4.0,clear sky
527,Saint-Augustin,CA,51.23,-58.65,42.94,96,100,18.23,moderate rain
528,Jieshi,CN,22.81,115.83,84.0,53,84,3.0,broken clouds
529,Mehamn,NO,71.04,27.85,39.6,72,86,22.28,overcast clouds
530,Tabat,ID,-2.63,115.23,93.16,47,36,4.36,light rain
531,Kunashak,RU,55.7,61.55,42.8,52,40,11.18,scattered clouds
532,Kungurtug,RU,50.6,97.52,30.31,90,94,1.43,overcast clouds
533,Victoria Point,AU,-27.58,153.3,75.0,55,15,5.01,few clouds
534,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.71,97,99,1.07,overcast clouds
535,Kieta,PG,-6.22,155.63,81.66,76,100,1.48,light rain
536,Geraldton,AU,-28.77,114.6,77.0,57,0,16.11,clear sky
537,Pandharpur,IN,17.67,75.33,84.85,50,44,9.91,scattered clouds
538,Oranjemund,NA,-28.55,16.43,63.91,72,0,6.2,clear sky
539,Hervey Bay,AU,-25.3,152.85,75.99,63,28,4.0,scattered clouds
540,Sucua,EC,-2.47,-78.17,66.94,76,98,3.74,overcast clouds
541,La Orilla,MX,17.98,-102.23,74.89,91,39,2.68,scattered clouds
542,Irbil,IQ,36.19,44.01,60.8,100,20,3.36,mist
543,Salalah,OM,17.02,54.09,82.4,54,20,3.36,few clouds
544,Lima,PE,-12.04,-77.03,64.4,82,90,8.05,overcast clouds
545,Sayyan,YE,15.17,44.32,64.51,27,0,1.43,clear sky
546,Thinadhoo,MV,0.53,72.93,83.5,67,97,1.48,overcast clouds
547,Chernaya Kholunitsa,RU,58.85,51.72,34.54,94,99,4.56,overcast clouds
548,Anloga,GH,5.79,0.9,78.8,94,40,4.7,scattered clouds
549,Am Timan,TD,11.03,20.28,82.27,28,31,9.4,scattered clouds
550,Conceicao Da Barra,BR,-18.59,-39.73,71.46,94,56,2.04,broken clouds
551,Walvis Bay,NA,-22.96,14.51,60.01,87,0,5.82,clear sky
552,Bandarbeyla,SO,9.49,50.81,79.77,62,0,10.0,clear sky
553,Port Macquarie,AU,-31.43,152.92,64.99,82,90,17.22,overcast clouds
554,Ratnagiri,IN,16.98,73.3,87.49,60,0,2.95,clear sky
555,Fort Nelson,CA,58.81,-122.7,5.0,92,40,9.17,scattered clouds
556,Hojai,IN,26.0,92.87,77.77,75,12,2.8,few clouds
557,Lakes Entrance,AU,-37.88,147.98,59.0,56,0,5.01,clear sky
558,Comodoro Rivadavia,AR,-45.87,-67.5,53.6,58,0,3.36,clear sky
559,Coelho Neto,BR,-4.26,-43.01,75.24,87,99,1.16,overcast clouds
560,Kharan,PK,28.58,65.42,81.14,14,0,3.76,clear sky
561,Bindi,SL,9.92,-11.45,71.24,90,74,2.28,broken clouds
562,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.2,74,20,4.47,few clouds
563,Dawson Creek,CA,55.77,-120.24,12.2,85,1,3.36,clear sky
564,Linhares,BR,-19.39,-40.07,69.31,97,32,4.56,scattered clouds
565,Carauari,BR,-4.88,-66.9,73.35,97,90,0.36,overcast clouds
566,Aboso,GH,5.36,-1.95,76.59,93,61,2.15,broken clouds
567,Zhicheng,CN,30.3,111.5,76.73,27,0,4.52,clear sky
568,Bara,NG,10.37,10.73,75.81,27,0,9.06,clear sky
569,Anadyr,RU,64.75,177.48,26.6,86,75,17.9,light snow
570,Buala,SB,-8.14,159.59,82.8,70,83,1.63,broken clouds
571,Odienne,CI,9.51,-7.57,72.37,85,47,2.21,scattered clouds
572,Wolkersdorf,AT,48.38,16.52,37.0,69,7,3.36,mist
573,Karakol,KG,42.49,78.39,46.76,47,0,2.57,clear sky
574,Lewiston,US,44.1,-70.21,57.0,71,1,3.36,clear sky
575,Riyadh,SA,24.69,46.72,77.0,22,0,11.41,clear sky
576,Berdigestyakh,RU,62.1,126.7,2.17,92,100,5.44,overcast clouds
577,Vila Velha,BR,-20.33,-40.29,71.6,88,75,6.93,broken clouds
578,Puerto Quijarro,BO,-17.78,-57.77,73.49,38,0,2.24,clear sky
579,Porto Novo,BJ,6.5,2.6,78.8,94,40,3.36,scattered clouds
580,Gawler,AU,-34.6,138.73,73.99,30,0,7.0,clear sky
581,Mackenzie,CA,55.3,-123.17,24.8,73,75,5.82,broken clouds
582,Cap Malheureux,MU,-19.98,57.61,78.01,62,0,11.99,clear sky
583,Siena,IT,43.22,11.4,51.01,91,0,1.01,clear sky
584,College,US,64.86,-147.8,30.0,96,100,6.24,overcast clouds
585,Madaoua,NE,14.07,5.96,75.88,21,36,13.4,scattered clouds
586,Bingol,TR,38.88,40.49,48.2,93,75,3.36,broken clouds
587,Outlook,CA,51.5,-107.05,33.8,88,97,9.17,light rain
588,Redcar,GB,54.62,-1.06,43.0,97,0,6.24,clear sky
589,Cairns,AU,-16.92,145.77,86.0,62,75,8.05,broken clouds
590,Cockburn Town,TC,21.46,-71.14,79.79,81,100,20.33,moderate rain
591,Hirna,ET,9.22,41.1,70.99,53,82,1.7,broken clouds
592,Tarata,BO,-17.62,-66.02,57.2,58,78,3.36,broken clouds
593,Mayachnyy,RU,52.68,55.69,38.48,90,100,8.97,overcast clouds
594,Basqal,AZ,40.76,48.39,57.2,67,75,6.93,broken clouds
595,Fenelon Falls,CA,44.53,-78.75,54.0,81,93,8.05,overcast clouds
596,Yarada,IN,17.65,83.27,87.8,58,40,8.05,haze
597,Nizwa,OM,22.93,57.53,82.76,39,15,8.99,few clouds
598,Turbat,PK,26.0,63.04,90.77,12,0,4.74,clear sky
599,Douglas,US,41.3,-96.17,60.01,87,1,18.34,clear sky
600,Puerto Escondido,MX,15.85,-97.07,76.59,77,77,4.9,broken clouds
601,Isangel,VU,-19.55,169.27,86.0,66,75,5.19,broken clouds
602,Carbonia,IT,39.17,8.52,60.01,81,20,4.7,few clouds
603,Nabire,ID,-3.37,135.48,87.4,64,60,5.7,broken clouds
604,Ushtobe,KZ,45.25,77.98,60.01,27,0,3.11,clear sky
605,Tupik,RU,54.43,119.93,20.34,87,96,8.97,overcast clouds
606,Quchan,IR,37.11,58.51,69.94,19,54,7.0,broken clouds
607,Manbij,SY,36.53,37.95,60.8,55,0,4.7,clear sky
608,Goderich,CA,43.75,-81.72,57.2,67,100,13.87,overcast clouds
609,Qui Nhon,VN,13.77,109.23,77.85,82,74,17.6,broken clouds
610,Katangli,RU,51.71,143.23,27.55,83,89,6.49,overcast clouds
611,Makakilo City,US,21.35,-158.09,80.6,74,75,3.36,broken clouds
612,Springbok,ZA,-29.66,17.89,58.05,67,54,10.07,broken clouds
613,Aksarka,RU,66.56,67.8,31.95,99,100,4.76,overcast clouds
614,Barkot,IN,30.82,78.2,73.4,18,0,4.43,clear sky
615,Berlevag,NO,70.86,29.09,40.05,71,92,23.85,overcast clouds
616,Tambo,PE,-14.8,-73.92,39.94,71,6,2.66,clear sky
617,Zemes,RO,46.58,26.42,48.2,87,75,9.17,broken clouds
618,Trat,TH,12.5,102.5,89.6,62,40,9.17,scattered clouds
619,Matara,LK,5.95,80.54,88.81,60,96,10.94,overcast clouds
620,San Juan,AR,-31.54,-68.54,65.89,34,31,2.82,scattered clouds
621,Batagay,RU,67.63,134.63,-24.79,84,33,0.78,scattered clouds
622,High Level,CA,58.52,-117.14,1.4,84,20,2.24,few clouds
623,Channahon,US,41.43,-88.23,55.99,81,1,4.7,clear sky
624,Si Sa Ket,TH,14.83,104.33,84.99,99,31,10.22,scattered clouds
625,Niquero,CU,20.04,-77.58,73.6,88,100,8.59,moderate rain
626,Camas,ES,37.4,-6.03,59.0,93,40,2.24,drizzle
627,Gamboma,CG,-1.88,15.86,77.43,78,89,2.21,overcast clouds
628,Bella Vista,US,36.43,-94.23,52.0,81,1,3.36,clear sky
629,Khani,GE,41.96,42.96,57.2,76,75,9.17,broken clouds
630,Daugai,LT,54.37,24.33,50.0,87,90,11.41,overcast clouds
631,Ullapool,GB,57.9,-5.16,39.0,41,86,1.99,overcast clouds
632,Rawson,AR,-43.3,-65.1,49.93,78,26,11.03,scattered clouds
633,Ilulissat,GL,69.22,-51.1,14.0,51,100,11.41,overcast clouds
634,Rockland,US,41.17,-74.05,55.99,67,0,4.27,clear sky
635,Kununurra,AU,-15.77,128.73,95.0,32,100,5.82,overcast clouds
636,High Prairie,CA,55.43,-116.49,15.8,85,100,4.7,overcast clouds
637,Gambela,ET,8.25,34.58,85.35,57,100,1.03,overcast clouds
638,Bay Roberts,CA,47.6,-53.26,53.6,93,90,18.34,light intensity shower rain
639,Nepa Nagar,IN,21.47,76.4,84.13,27,0,4.45,clear sky
640,Airai,TL,-8.93,125.41,77.77,39,78,7.2,broken clouds
641,Napoleon,US,41.39,-84.13,51.8,75,1,3.36,clear sky
642,Ponta Delgada,PT,37.73,-25.67,59.0,58,40,11.41,scattered clouds
643,Wilmington,US,34.23,-77.94,64.99,100,1,6.93,clear sky
644,Xudat,AZ,41.63,48.68,52.12,78,100,11.83,overcast clouds
645,Eirunepe,BR,-6.66,-69.87,73.89,88,86,1.28,overcast clouds
646,Chincholi,IN,17.47,77.43,84.51,49,0,8.86,clear sky
647,Seydi,TM,39.48,62.91,78.21,14,78,19.26,broken clouds
648,Atikokan,CA,48.76,-91.62,43.7,94,100,5.75,overcast clouds
649,Santa Cruz,BO,-17.8,-63.17,75.2,83,70,2.24,smoke
650,Makubetsu,JP,45.37,141.82,50.0,76,75,8.05,broken clouds
651,Marsabit,KE,2.33,37.99,63.52,99,89,14.67,light rain
652,Arman,RU,59.7,150.17,12.81,86,96,11.97,overcast clouds
653,Rong Kwang,TH,18.34,100.32,91.4,59,40,2.24,scattered clouds
654,Inuvik,CA,68.35,-133.72,17.6,72,100,1.12,overcast clouds
655,Pochutla,MX,15.74,-96.47,75.0,88,100,3.15,overcast clouds
656,Voyvozh,RU,62.89,54.96,32.04,99,98,3.74,overcast clouds
657,Nang Rong,TH,14.64,102.79,82.4,74,75,9.17,broken clouds
658,Sinop,TR,41.77,34.87,57.2,67,75,6.93,broken clouds
659,Yarensk,RU,62.17,49.09,34.2,95,99,5.1,light rain
660,Omsukchan,RU,62.53,155.8,1.13,89,100,4.97,overcast clouds
661,Severnyy,RU,50.68,36.55,42.8,87,75,17.9,broken clouds
662,Kihei,US,20.79,-156.47,78.8,74,40,12.75,scattered clouds
663,Khasan,RU,42.43,130.64,56.44,39,71,13.2,broken clouds
664,Keuruu,FI,62.27,24.7,46.0,87,0,10.29,clear sky
665,Maymyo,MM,22.03,96.47,87.8,70,40,3.36,scattered clouds
666,Henties Bay,NA,-22.12,14.28,60.01,91,0,1.99,clear sky
667,Ghanzi,BW,-21.57,21.78,86.56,17,2,8.81,clear sky
668,Zhanaozen,KZ,43.3,52.8,52.74,58,100,15.39,overcast clouds
669,Warrington,GB,53.39,-2.58,43.0,93,10,9.17,clear sky
670,Vallenar,CL,-28.57,-70.76,57.47,64,19,1.28,few clouds
671,Ternate,ID,0.8,127.4,83.98,72,52,10.13,light rain
672,Parkes,AU,-33.13,148.18,77.0,23,0,1.01,clear sky
673,Monteiro,BR,-7.89,-37.12,70.38,84,14,8.12,few clouds
674,Aligudarz,IR,33.4,49.69,58.12,32,100,7.56,overcast clouds
675,Chake Chake,TZ,-5.25,39.77,85.91,58,2,5.3,clear sky
676,Dukat,RU,62.55,155.55,-2.65,91,100,4.38,overcast clouds
677,Santa Vitoria Do Palmar,BR,-33.52,-53.37,59.72,94,37,6.91,scattered clouds
678,Labuan,MY,5.28,115.24,86.0,74,20,3.36,few clouds
679,San Andres,CO,12.58,-81.7,75.2,94,40,4.97,scattered clouds
680,Marathon,US,44.9,-89.77,55.0,93,1,3.36,clear sky
681,Lensk,RU,60.73,114.93,3.31,89,100,10.18,overcast clouds
682,Kurilsk,RU,45.23,147.88,49.87,80,97,3.78,overcast clouds
683,Green River,US,41.53,-109.47,55.4,32,1,11.41,clear sky
684,Taber,CA,49.82,-112.15,37.4,100,100,5.82,overcast clouds
685,Sovetskaya Gavan,RU,48.97,140.29,33.91,86,100,6.51,overcast clouds
686,Samarinda,ID,-0.5,117.15,93.24,48,52,3.47,broken clouds
687,Raton,US,36.9,-104.44,50.0,34,1,8.05,clear sky
688,Ayan,RU,56.45,138.17,18.09,84,100,14.83,overcast clouds
689,Petatlan,MX,17.52,-101.27,74.3,83,100,3.94,overcast clouds
690,Barra Do Garcas,BR,-15.89,-52.26,75.56,60,100,6.29,overcast clouds
691,Mao,ES,39.89,4.27,66.2,93,75,10.29,light rain
692,Ondo,NG,7.1,4.83,74.68,95,27,2.64,scattered clouds
693,Mandalgovi,MN,45.76,106.27,35.29,63,0,16.71,clear sky
694,Kaeo,NZ,-35.1,173.78,66.99,95,95,17.0,light rain
695,Monte Alegre,BR,-2.01,-54.07,73.45,93,17,3.15,heavy intensity rain
696,Muriwai Beach,NZ,-36.82,174.45,64.99,90,94,3.0,overcast clouds
697,Cesis,LV,57.31,25.27,46.0,98,27,3.0,scattered clouds
